DESTINO;CUENTA_CUIT;LINK;LINK5;PROV;PUNTO_GEOGRAFICO;POBLACION;DENSIDAD;NBI
MERCEDES;140;6532020;06532;Buenos Aires;Point (-59.42959817226879693 -34.65217153548859841);63284;0,597827953;0,051004254
MERLO;254;6539010;06539;Buenos Aires;Point (-58.74364320796689753 -34.68232770140679833);528494;29,94768762;0,114875843
MONTECARLO;100;54084030;54084;Misiones;Point (-54.76142673949439654 -26.56617649153119842);36745;0,204636207;0,146353901
MONTERRICO;50;38014070;38014;Jujuy;Point (-65.16222502421480556 -24.43852009925040036);97039;1,052341783;0,228734351
MORENO;68;6560010;06560;Buenos Aires;Point (-58.81630108866980322 -34.55865957225319818);452505;24,13403721;0,129217198
MORON;136;6568010;06568;Buenos Aires;Point (-58.60153304341500302 -34.61770717271789977);321109;57,40977241;0,035228527
NECOCHEA;110;6581040;06581;Buenos Aires;Point (-58.65855442691800192 -38.55897326007050196);92933;0,201886536;0,034049324
NEUQUEN;72;58035070;58035;Neuquen;Point (-68.08390576219770196 -38.94928567960320009);362673;0,503163091;0,089677159
OBERA;50;54091080;54091;Misiones;Point (-55.12515469314700312 -27.48165593787589955);107501;0,673558938;0,145722281
OLAVARRÍA;110;6595070;06595;Buenos Aires;Point (-60.31800465595770078 -36.89209357888589835);111708;0,145125863;0,033039468
PALPALA;110;38042040;38042;Jujuy;Point (-65.23007477732819837 -24.23423425937840037);52631;1,078885302;0,11463138
PARANA;110;30084160;30084;Entre Rios;Point (-60.52841459175880345 -31.74156764264100161);339930;0,658548948;0,05122346
PASO DE LOS LIBRES;100;18119030;18119;Corrientes;Point (-57.08774410279990263 -29.71169985969820004);48642;0,097616503;0,136939792
PERGAMINO;55;6623100;06623;Buenos Aires;Point (-60.57164007949519657 -33.89499005631910222);104590;0,345810831;0,043286931
PERICO;60;38014090;38014;Jujuy;Point (-65.11327938074849442 -24.3798152834466002);97039;1,052341783;0,228734351
PILAR;476;6638040;06638;Buenos Aires;Point (-58.8393730861805011 -34.44481494034479852);299077;7,675552085;0,130348006
PINAMAR;55;6644010;06644;Buenos Aires;Point (-56.88339846978269776 -37.13004775818880177);25728;3,891466012;0,081170018
PLOTTIER;50;58035100;58035;Neuquen;Point (-68.24784038650490459 -38.95105616112120117);362673;0,503163091;0,089677159
POSADAS;201;54028030;54028;Misiones;Point (-55.89400209802619912 -27.36621704275989941);324756;3,333762783;0,11828823
PRESIDENCIA ROQUE SAENZ PEÑA;61;22021010;22021;Chaco;Point (-60.44214628140949941 -26.79160589293769945);96944;0,639482335;0,164518519
PROV;32253;;;;¿PONEMOS LA PLATA?;;;
PROV(1);1;;;;"LIMPIARIA LA TABLA PARA UNIFICAR ""PROV"" con ""PROV(1)""";;;
PUERTO ESPERANZA;50;54063010;54063;Misiones;Point (-54.61250923334679896 -26.02329708977919864);82227;0,289543154;0,213127737
